archivo,ran_nucleosagrarios_campeche.kml
sha256,8679e733b3d80a71752dafb5fe8e2bdbab8c8b21529a292db5a4bd20892e0ecd
fuente,RAN KML original Campeche
usuario_id,53
fecha_carga,2026-08-14T22:52:01.386393+00:00
crs_original,EPSG:4326
perfil_mapeo_id,
features_recibidos,486
validos_pendientes,1
advertencias_pendientes,0
errores,485
importados,0
descartados,0

indice,estado,id_externo,nombre_nucleo,tipo_nucleo,entidad_id,municipio_id,errores,advertencias,transformaciones,area_original_m2,area_normalizada_m2,diferencia_area_relativa,nucleo_operativo_id
0,error,66,11 DE MAYO,ejido,4,2511,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 1 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],41064855.6820,41064855.6820,,
1,error,40,16 DE SEPTIEMBRE,ejido,4,2511,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 2 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],19644239.1039,19644239.1039,,
2,error,35,20 DE NOVIEMBRE,ejido,4,2511,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 3 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],351202172.0747,351202172.0747,,
3,error,25,ADOLFO RUIZ CORTINES,ejido,4,2503,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 4 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]",[],37044498.7234,37044498.7234,,
4,error,25,ADOLFO RUIZ CORTINES,ejido,4,2503,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 4 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]",[],11740774.8431,11740774.8431,,
5,error,33,AKIM PECH,ejido,4,2505,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 5 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],39866788.3430,39866788.3430,,
6,error,24,ALFREDO V. BONFIL,ejido,4,2503,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 6 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],200889879.6347,200889879.6347,,
7,error,48,AQUILES SERDAN,ejido,4,2505,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 7 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]",[],72586725.8960,72586725.8960,,
8,error,48,AQUILES SERDAN,ejido,4,2505,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 7 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]","[{""campo"": ""geometria"", ""codigo"": ""PARTES_POR_UNIR"", ""mensaje"": ""Las partes con la misma identidad externa se uniran solamente durante la confirmacion.""}]",[],27024487.4007,27024487.4007,,
9,error,29,ARELLANO,ejido,4,2505,"[{""campo"": ""nombre_nucleo"", ""codigo"": ""NUCLEO_OPERATIVO_EXISTENTE"", ""mensaje"": ""Ya existe el nucleo operativo 8 con el mismo nombre y municipio; se requiere conciliacion, no sobrescritura.""}]",[],[],74750215.3613,74750215.3613,,
