archivo,hoja,columna_excel,bloque_encabezado,nombre_exacto_excel,significado_normalizado,ambito,tabla_columna_bd,schema_pydantic,endpoint,pantalla_control_ui,estado
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,A,General,PROYECTO,proyecto ferroviario,general,proyecto.nombre_proyecto,Proyecto,/api/proyectos,Selector de contexto · Proyecto,OK
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,B,General,TOTAL DE NÚCLEOS AGRARIOS,total de núcleos derivado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,C,SENSIBILIZACIÓN,Programado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,D,SENSIBILIZACIÓN,Realizado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,E,CAMINAMIENTO,Programado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,F,CAMINAMIENTO,Realizado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,G,ASAMBLEA DE ANUENCIA Y APROBACIÓN DEL CONVENIO DE OCUPACIÓN PREVIA (COP) → Asambleas,Programado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,H,ASAMBLEA DE ANUENCIA Y APROBACIÓN DEL CONVENIO DE OCUPACIÓN PREVIA (COP) → Asambleas,Realizado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,I,ASAMBLEA DE ANUENCIA Y APROBACIÓN DEL CONVENIO DE OCUPACIÓN PREVIA (COP) → Ingreso al RAN,Programado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
PROYECTOS VÍAS SEGUIMIENTO GENERAL.xlsx,INFORME GENERAL,J,ASAMBLEA DE ANUENCIA Y APROBACIÓN DEL CONVENIO DE OCUPACIÓN PREVIA (COP) → Ingreso al RAN,Realizado,indicador agregado,general,vw_dashboard_kpi,DashboardKPI,/api/dashboard,Dashboard,DERIVADO
